movie_id,title,combined
534,Terminator Salvation,"all grown up in post-apocalyptic 2018, john connor must lead the resistance of humans against the increasingly dominating militaristic robots. but when marcus wright appears, his existence confuses the mission as connor tries to determine whether wright has come from the future or the past -- and whether he's friend or foe. christianbale samworthington antonyelchin mcg action sciencefiction thriller"
168259,Furious 7,deckard shaw seeks revenge against dominic toretto and his family for his comatose brother. vindiesel paulwalker dwaynejohnson jameswan action
72190,World War Z,"life for former united nations investigator gerry lane and his family seems content. suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. after barely escaping the chaos, lane is persuaded to go on a mission to investigate this disease. what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls. bradpitt mireilleenos abigailhargrove marcforster action drama horror sciencefiction thriller"
127585,X-Men: Days of Future Past,the ultimate x-men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future. hughjackman jamesmcavoy michaelfassbender bryansinger action adventure fantasy sciencefiction
54138,Star Trek Into Darkness,"when the crew of the enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis. with a personal score to settle, captain kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. as our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family kirk has left: his crew. chrispine zacharyquinto zoesaldana j.j.abrams action adventure sciencefiction"
81005,Jack the Giant Slayer,"the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. unleashed on the earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, jack into the battle of his life to stop them. fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself. nicholashoult eleanortomlinson ewanmcgregor bryansinger action family fantasy"
64682,The Great Gatsby,"an adaptation of f. scott fitzgerald's long island-set novel, where midwesterner nick carraway is lured into the lavish world of his neighbor, jay gatsby. soon enough, however, carraway will see through the cracks of gatsby's nouveau riche existence, where obsession, madness, and tragedy await. leonardodicaprio tobeymaguire careymulligan bazluhrmann drama romance"
9543,Prince of Persia: The Sands of Time,"a rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time – gift from the gods that can reverse time and allow its possessor to rule the world. jakegyllenhaal gemmaarterton benkingsley mikenewell adventure fantasy action romance"
68726,Pacific Rim,"when legions of monstrous creatures, known as kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. to combat the giant kaiju, a special type of weapon was devised: massive robots, called jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. but even the jaegers are proving nearly defenseless in the face of the relentless kaiju. on the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (charlie hunnam) and an untested trainee (rinko kikuchi)—who are teamed to drive a legendary but seemingly obsolete jaeger from the past. together, they stand as mankind's last hope against the mounting apocalypse. idriselba charliehunnam charlieday guillermodeltoro action sciencefiction adventure"
38356,Transformers: Dark of the Moon,"sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobot-leader optimus prime. the film centers around the space race between the ussr and the usa, suggesting there was a hidden transformers role in it all that remains one of the planet's most dangerous secrets. shialabeouf johnmalkovich kenjeong michaelbay action sciencefiction adventure"
217,Indiana Jones and the Kingdom of the Crystal Skull,"set during the cold war, the soviets – led by sword-wielding irina spalko – are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. after being captured and then escaping from them, indy is coerced to head to peru at the behest of a young man whose friend – and indy's colleague – professor oxley has been captured for his knowledge of the skull's whereabouts. harrisonford cateblanchett shialabeouf stevenspielberg adventure action"
105864,The Good Dinosaur,an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend. raymondochoa jackbright jeffreywright petersohn adventure animation family
62177,Brave,"brave is set in the mystical scottish highlands, where mérida is the princess of a kingdom ruled by king fergus and queen elinor. an unruly daughter and an accomplished archer, mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. in an attempt to set things right, mérida seeks out an eccentric old wise woman and is granted an ill-fated wish. also figuring into mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous lord macguffin, the surly lord macintosh, and the disagreeable lord dingwall. kellymacdonald juliewalters billyconnolly brendachapman animation adventure comedy family action fantasy"
188927,Star Trek Beyond,"the uss enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test. chrispine zacharyquinto karlurban justinlin action adventure sciencefiction"
10681,WALL·E,"wall·e is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space. for 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. when a ship arrives with a sleek new type of robot, wall·e thinks he's finally found a friend and stows away on the ship when it leaves. benburtt elissaknight jeffgarlin andrewstanton animation family"
5174,Rush Hour 3,"after an attempted assassination on ambassador han, inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads' secret leaders. lee also holds secret meetings with a united nations authority, but his personal struggles with a chinese criminal mastermind named kenji, which reveals that it's lee's long-lost...brother. christucker jackiechan hiroyukisanada brettratner action comedy crime thriller"
14161,2012,"dr. adrian helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. he warns u.s. president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. meanwhile, writer jackson curtis stumbles on the same information. while the world's leaders race to build ""arks"" to escape the impending cataclysm, curtis struggles to find a way to save his family. meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. johncusack amandapeet chiwetelejiofor rolandemmerich action adventure sciencefiction"
17979,A Christmas Carol,"miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption. garyoldman jimcarrey stevevalentine robertzemeckis animation drama"
76757,Jupiter Ascending,"in a universe where human genetic material is the most precious commodity, an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty… milakunis channingtatum seanbean lillywachowski sciencefiction fantasy action adventure"
258489,The Legend of Tarzan,"tarzan, having acclimated to life in london, is called back to his former home in the jungle to investigate the activities at a mining encampment. alexanderskarsgård margotrobbie christophwaltz davidyates action adventure"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","siblings lucy, edmund, susan and peter step through a magical wardrobe and find the land of narnia. there, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil white witch, jadis. aided by the wise and magnificent lion, aslan, the children lead narnia into a spectacular, climactic battle to be free of the witch's glacial powers forever. williammoseley annapopplewell skandarkeynes andrewadamson adventure family fantasy"
246655,X-Men: Apocalypse,"after the re-emergence of the world's first mutant, world-destroyer apocalypse, the x-men must unite to defeat his extinction level plan. jamesmcavoy michaelfassbender jenniferlawrence bryansinger sciencefiction"
155,The Dark Knight,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker. christianbale heathledger aaroneckhart christophernolan drama action crime thriller"
14160,Up,"carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. but at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old wilderness explorer named russell) gives him a new lease on life. edasner christopherplummer jordannagai petedocter animation comedy family adventure"
15512,Monsters vs Aliens,"when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. the military jumps into action and captures susan, secreting her away to a covert government compound. she is renamed ginormica and placed in confinement with a ragtag group of monsters... sethrogen reesewitherspoon hughlaurie conradvernon animation family adventure sciencefiction"
1726,Iron Man,"after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil. robertdowneyjr. terrencehoward jeffbridges jonfavreau action sciencefiction adventure"
44826,Hugo,"hugo is an orphan boy living in the walls of a train station in 1930s paris. he learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. the only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which hugo needs to find to unlock the secret he believes it contains. on his adventures, he meets with a shopkeeper, george melies, who works in the train station and his adventure-seeking god-daughter. hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past. benkingsley sachabaroncohen asabutterfield martinscorsese adventure drama family"
8487,Wild Wild West,legless southern inventor dr. arliss loveless plans to rekindle the civil war by assassinating president u.s. grant. only two men can stop him: gunfighter james west and master-of-disguise and inventor artemus gordon. the two must team up to thwart loveless' plans. willsmith kevinkline kennethbranagh barrysonnenfeld action adventure comedy sciencefiction western
1735,The Mummy: Tomb of the Dragon Emperor,"archaeologist rick o'connell travels to china, pitting him against an emperor from the 2,000-year-old han dynasty who's returned from the dead to pursue a quest for world domination. this time, o'connell enlists the help of his wife and son to quash the so-called 'dragon emperor' and his abuse of supernatural power. brendanfraser jetli johnhannah robcohen adventure action fantasy"
297761,Suicide Squad,"from dc comics comes the suicide squad, an antihero team of incarcerated supervillains who act as deniable assets for the united states government, undertaking high-risk black ops missions in exchange for commuted prison sentences. willsmith margotrobbie joelkinnaman davidayer action adventure crime fantasy sciencefiction"
2698,Evan Almighty,god contacts congressman evan baxter and tells him to build an ark in preparation for a great flood. stevecarell laurengraham johngoodman tomshadyac fantasy comedy family
137113,Edge of Tomorrow,"major bill cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. cage is killed within minutes, managing to take an alpha alien down with him. he awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop. tomcruise emilyblunt brendangleeson dougliman action sciencefiction"
9804,Waterworld,"in a futuristic world where the polar ice caps have melted and made earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. they escape, along with her young charge, enola, and sail off aboard his ship. but the trio soon becomes the target of a menacing pirate who covets the map to 'dryland' – which is tattooed on enola's back. kevincostner chaimgirafi rickaviles kevinreynolds adventure action"
14869,G.I. Joe: The Rise of Cobra,"from the egyptian desert to deep below the polar ice caps, the elite g.i. joe team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos. dennisquaid channingtatum marlonwayans stephensommers adventure action thriller sciencefiction"
150540,Inside Out,"growing up can be a bumpy road, and it's no exception for riley, who is uprooted from her midwest life when her father starts a new job in san francisco. like all of us, riley is guided by her emotions - joy, fear, anger, disgust and sadness. the emotions live in headquarters, the control center inside riley's mind, where they help advise her through everyday life. as riley and her emotions struggle to adjust to a new life in san francisco, turmoil ensues in headquarters. although joy, riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school. amypoehler phyllissmith richardkind petedocter drama comedy animation family"
278927,The Jungle Book,"after a threat from the tiger shere khan forces him to flee the jungle, a man-cub named mowgli embarks on a journey of self discovery with the help of panther, bagheera, and free spirited bear, baloo. neelsethi billmurray benkingsley jonfavreau family adventure drama fantasy"
10138,Iron Man 2,"with the world now aware of his dual life as the armored superhero iron man, billionaire inventor tony stark faces pressure from the government, the press and the public to share his technology with the military. unwilling to let go of his invention, stark, with pepper potts and james 'rhodey' rhodes at his side, must forge new alliances – and confront powerful enemies. robertdowneyjr. gwynethpaltrow doncheadle jonfavreau adventure action sciencefiction"
58595,Snow White and the Huntsman,"after the evil queen marries the king, she performs a violent coup in which the king is murdered and his daughter, snow white, is taken captive. almost a decade later, a grown snow white is still in the clutches of the queen. in order to obtain immortality, the evil queen needs the heart of snow white. after snow escapes the castle, the queen sends the huntsman to find her in the dark forest. kristenstewart charlizetheron chrishemsworth rupertsanders adventure fantasy drama"
102651,Maleficent,"the untold story of disney's most iconic villain from the 1959 classic 'sleeping beauty'. a beautiful, pure-hearted young woman, maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. bent on revenge, maleficent faces an epic battle with the invading king's successor and, as a result, places a curse upon his newborn infant aurora. as the child grows, maleficent realizes that aurora holds the key to peace in the kingdom - and to maleficent's true happiness as well. angelinajolie ellefanning sharltocopley robertstromberg fantasy adventure action family romance"
119450,Dawn of the Planet of the Apes,"a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while caesar tries to maintain dominance over his community of intelligent apes. andyserkis jasonclarke garyoldman mattreeves sciencefiction action drama thriller"
79698,The Lovers,"the lovers is an epic romance time travel adventure film. helmed by roland joffé from a story by ajey jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first anglo-maratha war across two time periods and continents and centred around four characters — a british officer in 18th century colonial india, the indian woman he falls deeply in love with, an american present-day marine biologist and his wife. joshhartnett simonekessell tamsinegerton rolandjoffé action adventure sciencefiction romance"
64686,47 Ronin,"based on the original 1941 movie from japan, and from ancient japan’s most enduring tale, the epic 3d fantasy-adventure 47 ronin is born. keanu reeves leads the cast as kai, an outcast who joins oishi (hiroyuki sanada), the leader of the 47 outcast samurai. together they seek vengeance upon the treacherous overlord who killed their master and banished their kind. to restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors. keanureeves hiroyukisanada koushibasaki carlrinsch drama action adventure fantasy"
100402,Captain America: The Winter Soldier,"after the cataclysmic events in new york with the avengers, steve rogers, aka captain america is living quietly in washington, d.c. and trying to adjust to the modern world. but when a s.h.i.e.l.d. colleague comes under attack, steve becomes embroiled in a web of intrigue that threatens to put the world at risk. joining forces with the black widow, captain america struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. when the full scope of the villainous plot is revealed, captain america and the black widow enlist the help of a new ally, the falcon. however, they soon find themselves up against an unexpected and formidable enemy—the winter soldier. chrisevans samuell.jackson scarlettjohansson anthonyrusso action adventure sciencefiction"
10192,Shrek Forever After,"a bored and domesticated shrek pacts with deal-maker rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of far far away—where rumpelstiltskin is king, ogres are hunted, and he and fiona have never met—he sets out to restore his world and reclaim his true love. mikemyers eddiemurphy camerondiaz mikemitchell comedy adventure fantasy animation family"
